descripcion;establecimiento;categoria;medida;territorio;cantidad
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Establecimientos;Almeria;24
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Establecimientos;Cadiz;55
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Establecimientos;Cordoba;15
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Establecimientos;Granada;31
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Establecimientos;Huelva;10
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Establecimientos;Jaen;16
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Establecimientos;Malaga;45
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Establecimientos;Sevilla;31
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Plazas;Almeria;772
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Plazas;Cadiz;2071
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Plazas;Cordoba;748
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Plazas;Granada;1488
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Plazas;Huelva;435
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Plazas;Jaen;396
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Plazas;Malaga;1830
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;1 Estrella;Plazas;Sevilla;1263
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Establecimientos;Almeria;35
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Establecimientos;Cadiz;79
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Establecimientos;Cordoba;40
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Establecimientos;Granada;79
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Establecimientos;Huelva;32
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Establecimientos;Jaen;43
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Establecimientos;Malaga;101
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Establecimientos;Sevilla;55
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Plazas;Almeria;1658
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Plazas;Cadiz;3261
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Plazas;Cordoba;1695
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Plazas;Granada;3978
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Plazas;Huelva;1750
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Plazas;Jaen;1465
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Plazas;Malaga;4894
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;2 Estrellas;Plazas;Sevilla;2391
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Establecimientos;Almeria;23
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Establecimientos;Cadiz;68
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Establecimientos;Cordoba;29
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Establecimientos;Granada;92
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Establecimientos;Huelva;17
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Establecimientos;Jaen;43
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Establecimientos;Malaga;141
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Establecimientos;Sevilla;56
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Plazas;Almeria;2215
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Plazas;Cadiz;6532
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Plazas;Cordoba;2222
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Plazas;Granada;7606
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Plazas;Huelva;1983
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Plazas;Jaen;2653
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Plazas;Malaga;20737
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;3 Estrellas;Plazas;Sevilla;5299
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Establecimientos;Almeria;61
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Establecimientos;Cadiz;93
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Establecimientos;Cordoba;28
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Establecimientos;Granada;67
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Establecimientos;Huelva;40
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Establecimientos;Jaen;26
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Establecimientos;Malaga;173
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Establecimientos;Sevilla;86
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Plazas;Almeria;25061
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Plazas;Cadiz;27649
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Plazas;Cordoba;4070
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Plazas;Granada;15661
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Plazas;Huelva;20124
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Plazas;Jaen;2710
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Plazas;Malaga;63215
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;4 Estrellas;Plazas;Sevilla;17931
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Establecimientos;Almeria;3
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Establecimientos;Cadiz;10
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Establecimientos;Cordoba;2
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Establecimientos;Granada;8
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Establecimientos;Huelva;2
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Establecimientos;Jaen;1
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Establecimientos;Malaga;24
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Establecimientos;Sevilla;10
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Plazas;Almeria;1080
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Plazas;Cadiz;2951
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Plazas;Cordoba;426
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Plazas;Granada;1447
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Plazas;Huelva;1226
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Plazas;Jaen;81
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Plazas;Malaga;7727
Hoteles y hoteles apartamentos;Hotel y Hotel apartamento;5 Estrellas;Plazas;Sevilla;2246
Hostales y pensiones;Hostal;1 Estrella;Establecimientos;Almeria;41
Hostales y pensiones;Hostal;1 Estrella;Establecimientos;Cadiz;120
Hostales y pensiones;Hostal;1 Estrella;Establecimientos;Cordoba;39
Hostales y pensiones;Hostal;1 Estrella;Establecimientos;Granada;43
Hostales y pensiones;Hostal;1 Estrella;Establecimientos;Huelva;20
Hostales y pensiones;Hostal;1 Estrella;Establecimientos;Jaen;20
Hostales y pensiones;Hostal;1 Estrella;Establecimientos;Malaga;75
Hostales y pensiones;Hostal;1 Estrella;Establecimientos;Sevilla;75
Hostales y pensiones;Hostal;1 Estrella;Plazas;Almeria;1039
Hostales y pensiones;Hostal;1 Estrella;Plazas;Cadiz;3311
Hostales y pensiones;Hostal;1 Estrella;Plazas;Cordoba;1000
Hostales y pensiones;Hostal;1 Estrella;Plazas;Granada;1225
Hostales y pensiones;Hostal;1 Estrella;Plazas;Huelva;572
Hostales y pensiones;Hostal;1 Estrella;Plazas;Jaen;473
Hostales y pensiones;Hostal;1 Estrella;Plazas;Malaga;2186
Hostales y pensiones;Hostal;1 Estrella;Plazas;Sevilla;2163
Hostales y pensiones;Hostal;2 Estrellas;Establecimientos;Almeria;17
Hostales y pensiones;Hostal;2 Estrellas;Establecimientos;Cadiz;46
Hostales y pensiones;Hostal;2 Estrellas;Establecimientos;Cordoba;17
Hostales y pensiones;Hostal;2 Estrellas;Establecimientos;Granada;43
Hostales y pensiones;Hostal;2 Estrellas;Establecimientos;Huelva;20
Hostales y pensiones;Hostal;2 Estrellas;Establecimientos;Jaen;10
Hostales y pensiones;Hostal;2 Estrellas;Establecimientos;Malaga;58
Hostales y pensiones;Hostal;2 Estrellas;Establecimientos;Sevilla;24
Hostales y pensiones;Hostal;2 Estrellas;Plazas;Almeria;710
Hostales y pensiones;Hostal;2 Estrellas;Plazas;Cadiz;1520
Hostales y pensiones;Hostal;2 Estrellas;Plazas;Cordoba;635
Hostales y pensiones;Hostal;2 Estrellas;Plazas;Granada;1427
Hostales y pensiones;Hostal;2 Estrellas;Plazas;Huelva;692
Hostales y pensiones;Hostal;2 Estrellas;Plazas;Jaen;293
Hostales y pensiones;Hostal;2 Estrellas;Plazas;Malaga;2290
Hostales y pensiones;Hostal;2 Estrellas;Plazas;Sevilla;1027
Hostales y pensiones;Pension;unica;Establecimientos;Almeria;49
Hostales y pensiones;Pension;unica;Establecimientos;Cadiz;98
Hostales y pensiones;Pension;unica;Establecimientos;Cordoba;47
Hostales y pensiones;Pension;unica;Establecimientos;Granada;105
Hostales y pensiones;Pension;unica;Establecimientos;Huelva;41
Hostales y pensiones;Pension;unica;Establecimientos;Jaen;35
Hostales y pensiones;Pension;unica;Establecimientos;Malaga;124
Hostales y pensiones;Pension;unica;Establecimientos;Sevilla;92
Hostales y pensiones;Pension;unica;Plazas;Almeria;1290
Hostales y pensiones;Pension;unica;Plazas;Cadiz;3122
Hostales y pensiones;Pension;unica;Plazas;Cordoba;1422
Hostales y pensiones;Pension;unica;Plazas;Granada;2851
Hostales y pensiones;Pension;unica;Plazas;Huelva;1075
Hostales y pensiones;Pension;unica;Plazas;Jaen;744
Hostales y pensiones;Pension;unica;Plazas;Malaga;3976
Hostales y pensiones;Pension;unica;Plazas;Sevilla;3091
Campamentos de turismo;Campamento de turismo;1 Estrella;Establecimientos;Almeria;4
Campamentos de turismo;Campamento de turismo;1 Estrella;Establecimientos;Cadiz;1
Campamentos de turismo;Campamento de turismo;1 Estrella;Establecimientos;Cordoba;1
Campamentos de turismo;Campamento de turismo;1 Estrella;Establecimientos;Granada;1
Campamentos de turismo;Campamento de turismo;1 Estrella;Establecimientos;Huelva;0
Campamentos de turismo;Campamento de turismo;1 Estrella;Establecimientos;Jaen;1
Campamentos de turismo;Campamento de turismo;1 Estrella;Establecimientos;Malaga;3
Campamentos de turismo;Campamento de turismo;1 Estrella;Establecimientos;Sevilla;0
Campamentos de turismo;Campamento de turismo;1 Estrella;Plazas;Almeria;792
Campamentos de turismo;Campamento de turismo;1 Estrella;Plazas;Cadiz;135
Campamentos de turismo;Campamento de turismo;1 Estrella;Plazas;Cordoba;64
Campamentos de turismo;Campamento de turismo;1 Estrella;Plazas;Granada;10
Campamentos de turismo;Campamento de turismo;1 Estrella;Plazas;Huelva;0
Campamentos de turismo;Campamento de turismo;1 Estrella;Plazas;Jaen;166
Campamentos de turismo;Campamento de turismo;1 Estrella;Plazas;Malaga;476
Campamentos de turismo;Campamento de turismo;1 Estrella;Plazas;Sevilla;0
Campamentos de turismo;Campamento de turismo;2 Estrellas;Establecimientos;Almeria;8
Campamentos de turismo;Campamento de turismo;2 Estrellas;Establecimientos;Cadiz;4
Campamentos de turismo;Campamento de turismo;2 Estrellas;Establecimientos;Cordoba;3
Campamentos de turismo;Campamento de turismo;2 Estrellas;Establecimientos;Granada;4
Campamentos de turismo;Campamento de turismo;2 Estrellas;Establecimientos;Huelva;0
Campamentos de turismo;Campamento de turismo;2 Estrellas;Establecimientos;Jaen;11
Campamentos de turismo;Campamento de turismo;2 Estrellas;Establecimientos;Malaga;12
Campamentos de turismo;Campamento de turismo;2 Estrellas;Establecimientos;Sevilla;2
Campamentos de turismo;Campamento de turismo;2 Estrellas;Plazas;Almeria;1268
Campamentos de turismo;Campamento de turismo;2 Estrellas;Plazas;Cadiz;1082
Campamentos de turismo;Campamento de turismo;2 Estrellas;Plazas;Cordoba;470
Campamentos de turismo;Campamento de turismo;2 Estrellas;Plazas;Granada;909
Campamentos de turismo;Campamento de turismo;2 Estrellas;Plazas;Huelva;0
Campamentos de turismo;Campamento de turismo;2 Estrellas;Plazas;Jaen;3456
Campamentos de turismo;Campamento de turismo;2 Estrellas;Plazas;Malaga;2293
Campamentos de turismo;Campamento de turismo;2 Estrellas;Plazas;Sevilla;491
Campamentos de turismo;Campamento de turismo;3 Estrellas;Establecimientos;Almeria;13
Campamentos de turismo;Campamento de turismo;3 Estrellas;Establecimientos;Cadiz;23
Campamentos de turismo;Campamento de turismo;3 Estrellas;Establecimientos;Cordoba;9
Campamentos de turismo;Campamento de turismo;3 Estrellas;Establecimientos;Granada;16
Campamentos de turismo;Campamento de turismo;3 Estrellas;Establecimientos;Huelva;7
